Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What type of user are you?,"Have you
ever submitted a ticket/request for technology help?","After submitting a request for help, did you receive a follow-up about your issue?","From the time that you submitted a request, how long was it before someone contacted you?",Which of these support services have you used? (Select all that apply),After using [QID2-ChoiceGroup-SelectedChoices] was your problem solved?,Which support service did not help you resolve your tech issue? (Select all that apply),Please explain why your issue was not resolved:,"If these
services were provided, which support process would you prefer to use to solve an
issue (rank from most to least)? - Web Form","If these
services were provided, which support process would you prefer to use to solve an
issue (rank from most to least)? - Email","If these
services were provided, which support process would you prefer to use to solve an
issue (rank from most to least)? - Phone","If these
services were provided, which support process would you prefer to use to solve an
issue (rank from most to least)? - Self Help Articles","If these
services were provided, which support process would you prefer to use to solve an
issue (rank from most to least)? - Live Chat","If these
services were provided, which support process would you prefer to use to solve an
issue (rank from most to least)? - Walk In",How long would you expect the issue to be resolved using [QID1-ChoiceGroup-ChoiceWithLowestValue]?,"Resolution Times for Services (Times may vary upon Issue, Operation Hours: 8 am - 5 pm):
Web Form - 34.2 hours during Operation or 4 days

Email - 34.2 hours during Operation or 4 daysWalk In - 30.2 hours during Operation or 3 days

Phone - 18.11 hours during Operation or 2 days
Live Chat - 11.39 hours during Operation or 1.5 days
Self Help Articles - at your convenience



After knowing the resolution times for each of these services, how would you rank them according to your preference (rank from most to least). - Web Form","Resolution Times for Services (Times may vary upon Issue, Operation Hours: 8 am - 5 pm):
Web Form - 34.2 hours during Operation or 4 days

Email - 34.2 hours during Operation or 4 daysWalk In - 30.2 hours during Operation or 3 days

Phone - 18.11 hours during Operation or 2 days
Live Chat - 11.39 hours during Operation or 1.5 days
Self Help Articles - at your convenience



After knowing the resolution times for each of these services, how would you rank them according to your preference (rank from most to least). - Email","Resolution Times for Services (Times may vary upon Issue, Operation Hours: 8 am - 5 pm):
Web Form - 34.2 hours during Operation or 4 days

Email - 34.2 hours during Operation or 4 daysWalk In - 30.2 hours during Operation or 3 days

Phone - 18.11 hours during Operation or 2 days
Live Chat - 11.39 hours during Operation or 1.5 days
Self Help Articles - at your convenience



After knowing the resolution times for each of these services, how would you rank them according to your preference (rank from most to least). - Phone","Resolution Times for Services (Times may vary upon Issue, Operation Hours: 8 am - 5 pm):
Web Form - 34.2 hours during Operation or 4 days

Email - 34.2 hours during Operation or 4 daysWalk In - 30.2 hours during Operation or 3 days

Phone - 18.11 hours during Operation or 2 days
Live Chat - 11.39 hours during Operation or 1.5 days
Self Help Articles - at your convenience



After knowing the resolution times for each of these services, how would you rank them according to your preference (rank from most to least). - Self Help Articles","Resolution Times for Services (Times may vary upon Issue, Operation Hours: 8 am - 5 pm):
Web Form - 34.2 hours during Operation or 4 days

Email - 34.2 hours during Operation or 4 daysWalk In - 30.2 hours during Operation or 3 days

Phone - 18.11 hours during Operation or 2 days
Live Chat - 11.39 hours during Operation or 1.5 days
Self Help Articles - at your convenience



After knowing the resolution times for each of these services, how would you rank them according to your preference (rank from most to least). - Live Chat","Resolution Times for Services (Times may vary upon Issue, Operation Hours: 8 am - 5 pm):
Web Form - 34.2 hours during Operation or 4 days

Email - 34.2 hours during Operation or 4 daysWalk In - 30.2 hours during Operation or 3 days

Phone - 18.11 hours during Operation or 2 days
Live Chat - 11.39 hours during Operation or 1.5 days
Self Help Articles - at your convenience



After knowing the resolution times for each of these services, how would you rank them according to your preference (rank from most to least). - Walk In","Overall, I am very satisfied with the support services offered by BYUI.",How could we improve our technology support services at BYU-Idaho?,"Based on your experience with our Technical
Support, how likely would you recommend these resources to someone?",Q20 - Topics
3/22/2018 11:03,3/22/2018 11:05,IP Address,157.201.109.117,100,136,TRUE,3/22/2018 11:05,R_1GIkNvxRe9pKcdm,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,Email,Yes,,,5,1,2,6,3,4,1 day or less,5,2,4,6,1,3,Somewhat satisfied,,Somewhat likely,
3/22/2018 11:05,3/22/2018 11:08,IP Address,157.201.109.117,100,198,TRUE,3/22/2018 11:08,R_saP30dFxohJKGFb,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,None of the Above,,,,2,1,4,3,5,6,2-3 days,2,1,4,3,5,6,Neither satisfied nor dissatisfied,,Neither likely nor unlikely,
3/22/2018 11:08,3/22/2018 11:20,IP Address,157.201.109.117,100,681,TRUE,3/22/2018 11:20,R_27ONZmFJjGT1FvV,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,None of the Above,,,,4,3,2,6,1,5,1 day or less,3,6,2,5,1,4,Neither satisfied nor dissatisfied,,Neither likely nor unlikely,
3/22/2018 11:20,3/22/2018 11:23,IP Address,157.201.109.117,100,221,TRUE,3/22/2018 11:23,R_BJ1d3LgBNHdRmLv,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,None of the Above,,,,4,5,1,6,2,3,1 day or less,5,6,2,4,1,3,Neither satisfied nor dissatisfied,,Neither likely nor unlikely,
3/22/2018 11:23,3/22/2018 11:31,IP Address,157.201.109.117,100,478,TRUE,3/22/2018 11:31,R_2EiRJgqhg6UnHIS,,,,,43.77609253,-111.6910019,anonymous,EN,Student,Yes,Yes,4-5 days,Phone,Yes,,,6,3,2,1,4,5,1 day or less,5,4,2,6,1,3,Somewhat satisfied,,Extremely likely,
3/22/2018 11:31,3/22/2018 11:45,IP Address,157.201.109.117,100,835,TRUE,3/22/2018 11:45,R_8xlKWouM8VeGYcp,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,"Phone,Live Chat",No,"Self Help Articles,Walk In",,4,3,1,5,2,6,1 day or less,4,3,2,5,1,6,Neither satisfied nor dissatisfied,,Neither likely nor unlikely,
3/22/2018 11:51,3/22/2018 11:53,IP Address,157.201.109.117,100,123,TRUE,3/22/2018 11:53,R_3ewe6jWgvEuibV8,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,"Email,Phone,Live Chat,Walk In",Yes,,,5,3,1,6,2,4,2-3 days,5,3,1,6,2,4,Extremely satisfied,,Somewhat likely,
3/23/2018 9:25,3/23/2018 9:27,IP Address,157.201.113.116,100,120,TRUE,3/23/2018 9:27,R_2VmR6GhQHha5pjc,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,Email,Yes,,,5,3,2,6,1,4,2-3 days,5,4,2,6,1,3,Somewhat satisfied,,Somewhat likely,
3/23/2018 9:27,3/23/2018 9:40,IP Address,157.201.117.102,100,765,TRUE,3/23/2018 9:40,R_3hEHQzdWK0pjvxw,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,None of the Above,,,,5,3,2,4,6,1,2-3 days,5,6,2,4,1,3,Neither satisfied nor dissatisfied,,Neither likely nor unlikely,
3/23/2018 9:40,3/23/2018 9:43,IP Address,157.201.117.102,100,216,TRUE,3/23/2018 9:43,R_1MMNpqr8EcPgD1w,,,,,43.77609253,-111.6910019,anonymous,EN,Student,No,,,None of the Above,,,,5,3,2,6,4,1,1 day or less,6,3,1,5,4,2,Neither satisfied nor dissatisfied,,Neither likely nor unlikely,
